category,title,price,image_link,product_link
tabs,realme Pad 2 6 GB RAM 128 GB ROM 11.5 inch with 4G Tablet (Inspiration Green),"₹10,755",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/5/3/l/rmp2204-realme-original-imagrhcqvxhqqcwf.jpeg?q=70,https://www.flipkart.com/realme-pad-2-6-gb-ram-128-rom-11-5-inch-4g-tablet-inspiration-green/p/itmcf4c6380eafa4?pid=TABGRGWKRZS9REGC&lid=LSTTABGRGWKRZS9REGCWPLFCC&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_8&otracker=search&fm=organic&iid=184e4ea7-5344-4de3-aa80-8cfc1272d6a0.TABGRGWKRZS9REGC.SEARCH&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
laptops,Infinix GT Book Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹22,000",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/i/h/-original-imahcd9998zgefk5.jpeg?q=70,https://www.flipkart.com/infinix-gt-book-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-80-w-gl613-gaming-laptop/p/itmc9e44d5a9f6c4?pid=COMHYS44DKVFUFVS&lid=LSTCOMHYS44DKVFUFVS2KZG86&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_GC014NB36YGCo0JzmAbXDbhtuK-opjXfwNg0vdA5viQU2ON5WtieSu5IsHE0KQ4qHglS21Fpxl3SoaChod2X-IQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=idutuwr48w0000001761824935062&qH=c06ea84a1e3dc3c6
mobiles,"POCO C71 (Cool Blue, 128 GB)","₹9,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/5/z/-original-imahawgarmg5f8ff.jpeg?q=70,https://www.flipkart.com/poco-c71-cool-blue-128-gb/p/itmfb10bdbf02c6e?pid=MOBHAFVJURDB9QYR&lid=LSTMOBHAFVJURDB9QYRYNBHTJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=821853b8-bf74-4442-958d-19eca0091f9a.MOBHAFVJURDB9QYR.SEARCH&ppt=None&ppn=None&ssid=xduk06t2kw0000001761824935098&qH=eb4af0bf07c16429
tabs,REDMI  Pad SE 4 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Mint Green),"₹9,315",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/z/b/c/-original-imahfdyfragxcjsh.jpeg?q=70,https://www.flipkart.com/redmi-pad-se-4-gb-ram-128-rom-11-0-inch-wi-fi-only-tablet-mint-green/p/itma5509f73ddb92?pid=TABHYYS9FYTCDFXZ&lid=LSTTABHYYS9FYTCDFXZMFL3AI&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_9&otracker=search&fm=organic&iid=184e4ea7-5344-4de3-aa80-8cfc1272d6a0.TABHYYS9FYTCDFXZ.SEARCH&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹12,000",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/b/u/-original-imahgfdfbprdg3mm.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WQSQGVR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=cfdfda54-d1f9-43fd-8e00-5cbd35d19c5b.COMH7NCZGGGWQC4W.SEARCH&ppt=None&ppn=None&ssid=idutuwr48w0000001761824935062&qH=c06ea84a1e3dc3c6
mobiles,"POCO M7 5G (Ocean Blue, 128 GB)","₹12,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/s/t/-original-imah9wydbymh7gv2.jpeg?q=70,https://www.flipkart.com/poco-m7-5g-ocean-blue-128-gb/p/itm9a7884b76b50f?pid=MOBH9HFJPK4N84VF&lid=LSTMOBH9HFJPK4N84VFWI8TWT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=821853b8-bf74-4442-958d-19eca0091f9a.MOBH9HFJPK4N84VF.SEARCH&ppt=None&ppn=None&ssid=xduk06t2kw0000001761824935098&qH=eb4af0bf07c16429
tabs,REDMI  Pad SE 6 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Mint Green),"₹10,125",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/z/b/c/-original-imahfdyfragxcjsh.jpeg?q=70,https://www.flipkart.com/redmi-pad-se-6-gb-ram-128-rom-11-0-inch-wi-fi-only-tablet-mint-green/p/itma5509f73ddb92?pid=TABHYYS9MGZMJFXK&lid=LSTTABHYYS9MGZMJFXKSQ0WHP&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_10&otracker=search&fm=organic&iid=184e4ea7-5344-4de3-aa80-8cfc1272d6a0.TABHYYS9MGZMJFXK.SEARCH&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
laptops,Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...,"₹20,000",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/x/1/a325-45-thin-and-light-laptop-acer-original-imah2tyffgnp8nmd.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a325-45-thin-light-laptop/p/itm9ca67a1a3ea22?pid=COMH59ENQYHDYJGX&lid=LSTCOMH59ENQYHDYJGXYVQ9ST&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=cfdfda54-d1f9-43fd-8e00-5cbd35d19c5b.COMH59ENQYHDYJGX.SEARCH&ppt=None&ppn=None&ssid=idutuwr48w0000001761824935062&qH=c06ea84a1e3dc3c6
mobiles,"Google Pixel 9A (Iris, 256 GB)","₹49,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/3/2/-original-imahadxgjufkypv5.jpeg?q=70,https://www.flipkart.com/google-pixel-9a-iris-256-gb/p/itmb2ce6b5391689?pid=MOBH9YMEHJC9NHHY&lid=LSTMOBH9YMEHJC9NHHYJIL7SI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=en_veB3GBQFnzszpU9LT9Bf5ovQVLuwXTMEIsIk75xjudIQhmK71_UrPZc2o8vGNeJYnqRxFJu82qLDN0GQaCnFZ4E8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=xduk06t2kw0000001761824935098&qH=eb4af0bf07c16429
laptops,Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...,"₹70,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/c/6/aspire-3-a325-53-thin-and-light-laptop-acer-original-imahg4t48x6tbbsx.jpeg?q=70,https://www.flipkart.com/acer-3-years-warranty-aspire-2025-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-a325-53-thin-light-laptop/p/itm07dcd421d9bcb?pid=COMHG4T4XWKNGBQH&lid=LSTCOMHG4T4XWKNGBQH3AUYMC&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=cfdfda54-d1f9-43fd-8e00-5cbd35d19c5b.COMHG4T4XWKNGBQH.SEARCH&ppt=None&ppn=None&ssid=idutuwr48w0000001761824935062&qH=c06ea84a1e3dc3c6
