Image_Link,Product_Link,Price,Product_Name
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/e/2/-original-imahfjsfgu7vjkvw.jpeg?q=70,https://www.flipkart.com/google-pixel-10-frost-256-gb/p/itm180af25bcc197?pid=MOBHEXHRXDGMF8XZ&lid=LSTMOBHEXHRXDGMF8XZLWA2ZF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_a5f-8yGa9dSPJIUZzR5vJ1Dr_gtnNNJT7z5-0rpAaX45SEh1kIVKtvssIVMcZ-P-mHrl1yTACIPu0KatwnsiCBhTy0lUJ14SzoMSv_CzLF0%3D&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹52,300","Google Pixel 10 (Frost, 256 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/8/y/-original-imahfjsfdmpbbhhb.jpeg?q=70,https://www.flipkart.com/google-pixel-10-lemongrass-256-gb/p/itmb9d9694811d2e?pid=MOBHEXHRGZ3WMHNS&lid=LSTMOBHEXHRGZ3WMHNSYMLO3G&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_a5f-8yGa9dSPJIUZzR5vJ1Dr_gtnNNJT7z5-0rpAaX7Jnqz5u4P5FK6RUeFV1UpQXHG8mo2lppuFoVAGwrDUyn3Gaq_wzx4HJysDmGalzMk%3D&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹52,300","Google Pixel 10 (Lemongrass, 256 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-f06-5g-bahama-blue-64-gb/p/itma2920c68b7fc8?pid=MOBHBF5JDCSG2TVD&lid=LSTMOBHBF5JDCSG2TVDYJZYLX&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBHBF5JDCSG2TVD.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹5,450","Samsung Galaxy F06 5G (Bahama Blue, 64 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/r/c/narzo-80-lite-4g-rmx5313-realme-original-imahegxgdvbva7zf.jpeg?q=70,https://www.flipkart.com/realme-narzo-80-lite-4g-beach-gold-64-gb/p/itm2890cac28063f?pid=MOBHEGXGZDHGFH2P&lid=LSTMOBHEGXGZDHGFH2PETCLNQ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBHEGXGZDHGFH2P.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹8,999","realme Narzo 80 Lite 4G (Beach Gold, 64 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/5/z/-original-imahawgarmg5f8ff.jpeg?q=70,https://www.flipkart.com/poco-c71-cool-blue-128-gb/p/itmfb10bdbf02c6e?pid=MOBHAFVJURDB9QYR&lid=LSTMOBHAFVJURDB9QYRYNBHTJ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBHAFVJURDB9QYR.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹4,950","POCO C71 (Cool Blue, 128 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/h/v/-original-imahgzhp9vgvyfkg.jpeg?q=70,https://www.flipkart.com/ai-pulse-blue-64-gb/p/itm131a44071789c?pid=MOBHDDQXW4ZVQFFX&lid=LSTMOBHDDQXW4ZVQFFX3HZRT7&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBHDDQXW4ZVQFFX.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹3,900","Ai+ Pulse (Blue, 64 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/b/8/-original-imahfjsf5gxbpfks.jpeg?q=70,https://www.flipkart.com/google-pixel-10-indigo-256-gb/p/itmb05d65622b9dd?pid=MOBHEXHRFEFHHU7Z&lid=LSTMOBHEXHRFEFHHU7ZJYTSRV&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_a5f-8yGa9dSPJIUZzR5vJ1Dr_gtnNNJT7z5-0rpAaX662wlSkn_-ySkVztXfWzcp2fyksyPHzAEWQJHBW6gcA-vN4Mn-dv-pi277bRzMbnY%3D&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹52,300","Google Pixel 10 (Indigo, 256 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/l/0/z10x-5g-i2404-iqoo-original-imahbngzhft7qyux.jpeg?q=70,https://www.flipkart.com/iqoo-z10x-5g-titanium-256-gb/p/itmfddcdf7717452?pid=MOBHBGRHXR7ZUFHB&lid=LSTMOBHBGRHXR7ZUFHBT6BQCF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBHBGRHXR7ZUFHB.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹20,499","IQOO Z10X 5G (Titanium, 256 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/v/f/-original-imahbr2cmpwexghw.jpeg?q=70,https://www.flipkart.com/poco-c75-5g-enchanted-green-64-gb/p/itmf8fdd88f80fcc?pid=MOBH7443VEGWXG4G&lid=LSTMOBH7443VEGWXG4GOW118G&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBH7443VEGWXG4G.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹5,350","POCO C75 5G (Enchanted Green, 64 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/t/q/z10x-5g-i2404-iqoo-original-imahbnghbzwfgken.jpeg?q=70,https://www.flipkart.com/iqoo-z10x-5g-ultramarine-128-gb/p/itmfddcdf7717452?pid=MOBHBB9YK52ARZF9&lid=LSTMOBHBB9YK52ARZF9QADJZS&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBHBB9YK52ARZF9.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹18,999","IQOO Z10X 5G (Ultramarine, 128 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/a/9/-original-imahfw4vxaqmcsjp.jpeg?q=70,https://www.flipkart.com/oppo-k13x-5g-6000mah-45w-supervooc-charger-ai-breeze-blue-128-gb/p/itm62b2e62fbb43e?pid=MOBHF523JZJSVZWU&lid=LSTMOBHF523JZJSVZWUHAHGHY&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBHF523JZJSVZWU.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹9,750","OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/m/x/-original-imah7jspd8dcxfut.jpeg?q=70,https://www.flipkart.com/poco-m7-pro-5g-lunar-dust-128-gb/p/itm59a079d57519a?pid=MOBH7443YUP5EJXZ&lid=LSTMOBH7443YUP5EJXZN5B3CD&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBH7443YUP5EJXZ.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹8,650","POCO M7 Pro 5G (Lunar Dust, 128 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/r/y/-original-imahfw4vez79uubg.jpeg?q=70,https://www.flipkart.com/oppo-k13x-5g-6000mah-45w-supervooc-charger-ai-sunset-peach-128-gb/p/itm62b2e62fbb43e?pid=MOBHDY9PFEUDUVBH&lid=LSTMOBHDY9PFEUDUVBH9J1IMA&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBHDY9PFEUDUVBH.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹9,000","OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/w/0/-original-imah9wydggh9mtxt.jpeg?q=70,https://www.flipkart.com/poco-m7-5g-mint-green-128-gb/p/itm55887907a1c02?pid=MOBH9HFJFR4FYHNJ&lid=LSTMOBH9HFJFR4FYHNJVOMMEX&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=a6264796-50e9-4f5a-ad74-6b310d6d71b9.MOBH9HFJFR4FYHNJ.SEARCH&ppt=hp&ppn=hp&ssid=rplqu8ovjk0000001761732243311&qH=532c28d5412dd75b,"₹6,250","POCO M7 5G (Mint Green, 128 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/g/u/-original-imahfbtfuy2vdsda.jpeg?q=70,https://www.flipkart.com/poco-m7-5g-locked-airtel-prepaid-satin-black-128-gb/p/itma98bb9c85c53b?pid=MOBH9HFJQWGBTEY3&lid=LSTMOBH9HFJQWGBTEY3V7HLRS&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=d9e8445d-fab3-44a9-89c3-4091e32c96d3.MOBH9HFJQWGBTEY3.SEARCH&ppt=sp&ppn=sp&ssid=31shiwdp6o0000001761732246833&qH=532c28d5412dd75b,"₹5,750","POCO M7 5G  - Locked with Airtel Prepaid (Satin Black, 128 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-f06-5g-bahama-blue-128-gb/p/itm9acd4c5748761?pid=MOBH9AS4DSSQECZM&lid=LSTMOBH9AS4DSSQECZMNC3LC0&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=d9e8445d-fab3-44a9-89c3-4091e32c96d3.MOBH9AS4DSSQECZM.SEARCH&ppt=sp&ppn=sp&ssid=31shiwdp6o0000001761732246833&qH=532c28d5412dd75b,"₹6,700","Samsung Galaxy F06 5G (Bahama Blue, 128 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/b/u/-original-imahadxg2fazkzub.jpeg?q=70,https://www.flipkart.com/google-pixel-9a-obsidian-256-gb/p/itmf9d1fcfa566cf?pid=MOBH9YMEQUGCHPHN&lid=LSTMOBH9YMEQUGCHPHNSFHZNA&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=Search&iid=en_VpngAOYaV9wVA7-1b8PZJ_sPDPpv7pCGOs-6moOJ8xznq-akgkaWKGnOp3dfek8qZ_TXqLzbetHXYys2TL79CQ%3D%3D&ppt=sp&ppn=sp&ssid=31shiwdp6o0000001761732246833&qH=532c28d5412dd75b,"₹33,300","Google Pixel 9A (Obsidian, 256 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/q/f/-original-imahadxg8mgjzrfh.jpeg?q=70,https://www.flipkart.com/google-pixel-9a-porcelain-256-gb/p/itmfe749ceddac9a?pid=MOBH9YME35EYPV4K&lid=LSTMOBH9YME35EYPV4K5K7UZW&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=Search&iid=en_VpngAOYaV9wVA7-1b8PZJ_sPDPpv7pCGOs-6moOJ8xztlvwvxpWFo6UGz0NEqZk9jFgxmUDrdM7MhocGI3M6QA%3D%3D&ppt=sp&ppn=sp&ssid=31shiwdp6o0000001761732246833&qH=532c28d5412dd75b,"₹33,300","Google Pixel 9A (Porcelain, 256 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/z/w/-original-imahawgahmkbjxyj.jpeg?q=70,https://www.flipkart.com/poco-c71-power-black-64-gb/p/itmfb6380853ba44?pid=MOBHAFVJVYASFAXY&lid=LSTMOBHAFVJVYASFAXY1IP4BK&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=d9e8445d-fab3-44a9-89c3-4091e32c96d3.MOBHAFVJVYASFAXY.SEARCH&ppt=sp&ppn=sp&ssid=31shiwdp6o0000001761732246833&qH=532c28d5412dd75b,"₹4,450","POCO C71 (Power Black, 64 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/z/w/-original-imahawgahmkbjxyj.jpeg?q=70,https://www.flipkart.com/poco-c71-power-black-128-gb/p/itm8096ee52d7013?pid=MOBHAFVJJM8BWNKC&lid=LSTMOBHAFVJJM8BWNKCJY0MRA&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=d9e8445d-fab3-44a9-89c3-4091e32c96d3.MOBHAFVJJM8BWNKC.SEARCH&ppt=sp&ppn=sp&ssid=31shiwdp6o0000001761732246833&qH=532c28d5412dd75b,"₹4,950","POCO C71 (Power Black, 128 GB)"
https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/3/2/-original-imahadxgjufkypv5.jpeg?q=70,https://www.flipkart.com/google-pixel-9a-iris-256-gb/p/itmb2ce6b5391689?pid=MOBH9YMEHJC9NHHY&lid=LSTMOBH9YMEHJC9NHHYJIL7SI&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=en_VpngAOYaV9wVA7-1b8PZJ_sPDPpv7pCGOs-6moOJ8xyO2hUgmW_tCKu8xYEHMn25ClnOBHe7-boftaxf-COFuQ%3D%3D&ppt=sp&ppn=sp&ssid=31shiwdp6o0000001761732246833&qH=532c28d5412dd75b,"₹33,300","Google Pixel 9A (Iris, 256 GB)"
