Video URL,Comment Number,Comment Text
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,2,"Brothers, please subscribe and show your support."
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,49,Pro lobby
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,50,Nice game
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,3,"I'm leaving this comment because whenever someone like this I will get a notification and after month or years I never forget this Masterpiece️...Love from Assam,India🇮🇳️"
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,1,First comment Pin    Please
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,51,Amazing
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,52,Bhai big fun
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,4,Big fans bro I always love to watch your gameplay ️ zonos pubg also good but not better than you bro please reply me bruh️️️️
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,2,Bhai tu hacker hai without hack khelo please game barbad mat kro
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,53,Used to be a game I loved to play.
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,3,0:45 Shot something wrong  0:45
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,54,Idol Im so curious to know that your playing bgmi or pubg
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,5,First of all great game Rich bro.
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,4,Mujhe bhi aise hi khelna sikha de koi
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,55,How jiggle faster bro plz tell
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,5,Ultimate royal ka gameplay
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,6,Bro playing game or playing with enemies
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,56,Bed luck today bro
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,7,Please give your game sensitivity bro
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,6,Dahamal scene bro
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,8,
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,7,Op bro nice
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,57,
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,9,First bro love your gameplay
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,8,64 kil kahan per hai bhai dikha to sahi youtuber ban raha
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,58,Wow
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,10,Почему бот так много
